goal,a,b,label,edge_type,source,system_tag
eat spicy sushi,drive to sushi restaurant,order some spicy sushi,1,confirmed,confirmed_edge,three_way_probe
plant a tomato plant,Purchase tomato seedling.,Go to nursery,0,reversed,reversed_edge,three_way_probe
do research about dolphins,use the internet to search,find local marine specialists,2,truly_parallel,proscript,three_way_probe
join the tennis team,Buy tennis gear from a sporting goods store.,Find a good tennis court nearby,2,truly_parallel,proscript,three_way_probe
give a new toy,Travel to a store,Figure out which toys the person already has,0,reversed,reversed_edge,three_way_probe
bench press two hundred pounds,set a goal of bench pressing two hundred pounds,drive to sporting goods store,1,confirmed,confirmed_edge,three_way_probe
buy a new television,compare the prices,find the best price for a particular television,1,confirmed,confirmed_edge,three_way_probe
go to the library downtown,check the library's hours online,check the bus schedule online,2,truly_parallel,proscript,three_way_probe
get out of town this past weekend,drive out of town,start the car,0,reversed,reversed_edge,three_way_probe
see a movie,get to the movie theater,hurry up to where the movie is playing,0,reversed,reversed_edge,three_way_probe
get more involved,make time to eat together,talk to the child's teachers,2,truly_parallel,proscript,three_way_probe
wait for a bus,collect the bus pass,Buy a bus pass,0,reversed,reversed_edge,three_way_probe
rent a cabin,go to the internet,research places to rent a cabin,1,confirmed,confirmed_edge,three_way_probe
drink only fresh milk,walk toward refrigerator,walk toward kitchen cabinet,2,truly_parallel,proscript,three_way_probe
have a dog,Pick out a dog,Look at the dogs,0,reversed,reversed_edge,three_way_probe
join a club,Find club hours.,Drive to the next meeting.,1,confirmed,confirmed_edge,three_way_probe
go on a trip,Take time off work.,Purchase plane tickets.,1,confirmed,confirmed_edge,three_way_probe
start the 21 day fix program,Review books online on how to fix the problem,Figure out what needs to be fixed,0,reversed,reversed_edge,three_way_probe
live debt free,"Account for every penny you're spending, daily",Find a way to make extra money,2,truly_parallel,proscript,three_way_probe
get a new hat,walk up to front door of house.,walk out to car.,1,confirmed,confirmed_edge,three_way_probe
get more involved,make time to eat together,join a group of other parents,2,truly_parallel,proscript,three_way_probe
cook Thanksgiving dinner,unwrap the turkey,put the turkey in a pan,1,confirmed,confirmed_edge,three_way_probe
build a giant snowman,get dressed in warm clothes,"Get a scarf, a carrot, and rocks",2,truly_parallel,proscript,three_way_probe
go to clown school,Drive to clown school.,Attend clown school classes.,1,confirmed,confirmed_edge,three_way_probe
read a book for class,Read the book,Receive the book in the mail,0,reversed,reversed_edge,three_way_probe
