goal,a,b,label,edge_type,source
eat a quick dinner,take peanut butter out of the pantry,take a knife out,2,flexible,incomparable_pair
make a good impression at the upcoming dance,buy formal clothes,practice etiquette at home,2,flexible,incomparable_pair
get a new library card,Drive to library,Go to the car,0,reversed,reversed_edge
find a wife,visit sites offering foreign brides,choose which woman to marry,1,confirmed,confirmed_edge
play basketball throughout high school,attend ball practice after school,practice at home,2,flexible,incomparable_pair
get up early for an appointment,go to bed early,sleep for a full night,1,confirmed,confirmed_edge
wait for a bus,Buy a bus pass,map out where the bus stop is,2,flexible,incomparable_pair
get out of town this past weekend,book a hotel,put bag of clothes in car,2,flexible,incomparable_pair
have a family dinner,Purchase groceries for dinner,Call family members,2,flexible,incomparable_pair
raise money for their school club,Set up the fundraiser.,Get any necessary supplies.,0,reversed,reversed_edge
play video games,Pick out a gaming system.,Search the Internet for good games.,1,confirmed,confirmed_edge
learn an instrument,Decide on what instrument to play,Go to local store,1,confirmed,confirmed_edge
live debt free,Make a budget,Find a way to make extra money,1,confirmed,confirmed_edge
know why religion was so controversial,watch movies on religion,talk to local authorities on the matter,2,flexible,incomparable_pair
attract more customers,Research new marketing tactics.,Put together ads for customer attraction.,1,confirmed,confirmed_edge
rent a movie for the evening,drive back home,pay for the movie,0,reversed,reversed_edge
go to Disneyland,find parking for car,drive to city of park,0,reversed,reversed_edge
go for a trip on an Amtrak train,Find Amtrak website,Buy the tickets,1,confirmed,confirmed_edge
rent a cabin,plan vacation with others,go to the internet,2,flexible,incomparable_pair
take a guy on a date,Find out when to pick up,Make dinner reservations,1,confirmed,confirmed_edge
catch some fish for food storage for winter,Search for nearby streams.,Buy fishing equipment.,2,flexible,incomparable_pair
take a cruise to the Caribbean,buy tickets for the cruise,decide on a cruise,0,reversed,reversed_edge
go a haunted mansion,Gain entry into mansion.,Explore haunted mansion.,1,confirmed,confirmed_edge
live a healthier lifestyle,throw out all the snack foods,throw out all the candy in the house,2,flexible,incomparable_pair
get another book from the library,drive to library,get library card,1,confirmed,confirmed_edge
make some cookies,Preheat the oven,Gather cookie ingredients,2,flexible,incomparable_pair
get out of town this past weekend,put gasoline in car,put bag of clothes in car,2,flexible,incomparable_pair
build a garden last week,shop for different kinds of plants,shop for gardening supplies,2,flexible,incomparable_pair
sleep on the back porch,find pillows and blankets,say goodnight to everyone,2,flexible,incomparable_pair
see a rainbow,find where the sunlight makes a prism against the drizzle,take a picture to prove the rainbow was there,1,confirmed,confirmed_edge
use social media,"Open, Start phone",Grab the phone,0,reversed,reversed_edge
find a vaccine for the virus,complete residency in hospital,become a doctor,1,confirmed,confirmed_edge
rent a cabin,plan vacation with others,research places to rent a cabin,2,flexible,incomparable_pair
check out the ice cream shop nearby,get in car.,walk out to car.,0,reversed,reversed_edge
bake some cookies,bake cookies in oven,scoop dough onto pan,0,reversed,reversed_edge
play a video game,Put the game in the console,Hit the play button,1,confirmed,confirmed_edge
catch some fish for food storage for winter,Search the Internet for fishing regulations.,Get a fishing license.,1,confirmed,confirmed_edge
learn how to bake a cake,Sign up for a baking class,Search for baking classes in town,0,reversed,reversed_edge
get more involved,be ready to listen all the time,ask questions about the child's day,0,reversed,reversed_edge
know why religion was so controversial,write down information as learned,read books on religion,0,reversed,reversed_edge
have a daughter,Have sex without protection,Become officially pregnant,1,confirmed,confirmed_edge
take anger out on a date,Find someone single.,Find someone attractive.,2,flexible,incomparable_pair
go to the store,grab car keys,leave the house,1,confirmed,confirmed_edge
drink only fresh milk,open cabinet and grab glass,walk toward refrigerator,2,flexible,incomparable_pair
make pasta with fresh mushrooms,"buy mushrooms, pasta, and sauce",go to the store,0,reversed,reversed_edge
go to a live music venue,Put on the clothes,Find appropriate clothing to wear.,0,reversed,reversed_edge
build a snowman,put on coat,put on hat,2,flexible,incomparable_pair
learn to dance ballet,Travel to ballet school,Practice ballet moves,1,confirmed,confirmed_edge
pick apples in Vermont,look up flights,book flight to place,1,confirmed,confirmed_edge
find a new book to read,search sci-fi isle,choose the book,1,confirmed,confirmed_edge
have a birthday party,decorate the location for the party,make food for the party,2,flexible,incomparable_pair
escape from prison,Watch the guards to learn the schedule,Dig a tunnel towards nearest place in the fence,2,flexible,incomparable_pair
shoot a gun,look at the target,point gun at the target,1,confirmed,confirmed_edge
learn to make pot pies,bake the potpies,make the potpies,0,reversed,reversed_edge
learn to knit,Drive to store to purchase supplies.,Purchase knitting supplies.,1,confirmed,confirmed_edge
learn to bowl,Rent bowling gear,Get assigned to a lane,1,confirmed,confirmed_edge
get a new pair of shoes,drive to the store,find a store with the shoes,0,reversed,reversed_edge
buy an XBox 1,look for the best price,read the reviews,0,reversed,reversed_edge
take a cruise,Go online with a browser,Search online for cruise package deals,1,confirmed,confirmed_edge
have a house party,Make a list of potential guests,Select music for the party,2,flexible,incomparable_pair
play the trombone,hold trombone up to lips,remove trombone from the case,0,reversed,reversed_edge
learn how to do a cartwheel,log onto the internet,put on gym clothes,2,flexible,incomparable_pair
see a new movie that came out,drive to the movie,get snacks on the way,1,confirmed,confirmed_edge
do something crazy,Find something crazy to do that is safe.,Find something crazy that is doable.,2,flexible,incomparable_pair
get a job delivering papers,browse craigslist for a job,create a resume,2,flexible,incomparable_pair
run a marathon,Walk to the starting line,Drive to the race location,0,reversed,reversed_edge
get in better shape,track fitness progress with an app,buy the healthy foods each week,2,flexible,incomparable_pair
open a new catering hall,construct building plans,hire construction crew,1,confirmed,confirmed_edge
go school clothes shopping,ask mom to go clothes shopping,drive with mom to the mall,1,confirmed,confirmed_edge
start a website,Choose a domain name,Research website hosts,0,reversed,reversed_edge
know why religion was so controversial,talk to local authorities on the matter,read books on religion,2,flexible,incomparable_pair
learn how to draw,Search for drawing tutorials online.,Open a web browser.,0,reversed,reversed_edge
buy a laptop,Search the Internet for laptop deals.,Open the Internet Browser.,0,reversed,reversed_edge
buy an XBox 1,watch videos of gameplay,read the reviews,2,flexible,incomparable_pair
participate in a chess tournament,go to the chair when name is called,play against opponent,1,confirmed,confirmed_edge
go pick up groceries for dinner,get in car and go to store,walk into store,1,confirmed,confirmed_edge
play a video game,Buy a video game,Buy a video game console,2,flexible,incomparable_pair
play the trombone,pick out some sheet music to play,remove trombone from the case,2,flexible,incomparable_pair
buy a new laptop,get into car,drive to electronics store,1,confirmed,confirmed_edge
go back in time,study time travel,create a time machine prototype,1,confirmed,confirmed_edge
do a mac & cheese,drive back home,buy mac and cheese,0,reversed,reversed_edge
learn to bowl,Get a map of the bowling location,Drive to the bowling class,1,confirmed,confirmed_edge
go into an abandoned asylum,look at asylum,drive to asylum,1,confirmed,confirmed_edge
buy a purple blouse,drive to the store,find a store close that has the blouse,0,reversed,reversed_edge
throw the best Halloween party,place bowls of candy out around the house,hang up the scary decorations,2,flexible,incomparable_pair
bake from scratch,drive back home,buy fresh ingredients,0,reversed,reversed_edge
run a half-marathon,Order necessary equipment,Train for a half-marathon,1,confirmed,confirmed_edge
swim at a nearby lake,Change into swimsuit,Walk to lake dock,1,confirmed,confirmed_edge
get in better shape,buy the healthy foods each week,write down an exercise regime,2,flexible,incomparable_pair
have a pet frog,Find local pet stores,Get ready to go out,1,confirmed,confirmed_edge
learn how to line dance,Sign up for a dance class,Watch other dancers,2,flexible,incomparable_pair
play the trombone,blow musical notes through mouthpiece,hold trombone up to lips,0,reversed,reversed_edge
pry open a frozen car door,Obtain water bottle,Pour water on frozen door to loosen,1,confirmed,confirmed_edge
buy a Surface Pro,Find best price,Find which one to get,0,reversed,reversed_edge
make myself a delicious meatball sub,Head home from market,Open groceries on counter,1,confirmed,confirmed_edge
buy some headphones,look at the headphone reviews,watch a video review,2,flexible,incomparable_pair
learn to make pot pies,make the potpies,bake the potpies,1,confirmed,confirmed_edge
get more involved,plan activities together,be ready to listen all the time,2,flexible,incomparable_pair
get away for a weekend,Check in local hotel.,Experience travel location.,1,confirmed,confirmed_edge
play the drums,get drumsticks from bedroom,leave the bedroom,1,confirmed,confirmed_edge
throw the best Halloween party,send out invitations,place bowls of candy out around the house,2,flexible,incomparable_pair
go to work,get dressed for work,brush teeth and wash up,2,flexible,incomparable_pair
learn to play the drums,Watch lessons online.,Go to the music store.,2,flexible,incomparable_pair
visit the beach,Find a parking spot.,Pick out a spot on the beach.,1,confirmed,confirmed_edge
learn how to draw,Watch a drawing tutorial.,Draw while watching the tutorial.,1,confirmed,confirmed_edge
start Varsity football,play on the regular teams,practice football at home,2,flexible,incomparable_pair
have a family dinner,Prepare meal using groceries,Invite family to dinner,2,flexible,incomparable_pair
try something new,Decide which activities on the list are the most appealing.,Make a list of all untried activities.,0,reversed,reversed_edge
go wilderness camping,gather camping supplies,purchase a tent,0,reversed,reversed_edge
play the trombone,pick out some sheet music to play,find trombone in the house,2,flexible,incomparable_pair
buy a video game,search for the video game,go to the store website,0,reversed,reversed_edge
have a nerf gun war,pass out the nerf guns and ammo,take nerf guns out of the closet,0,reversed,reversed_edge
start teaching piano lessons,read articles on the piano,buy a piano,2,flexible,incomparable_pair
go back to school,Buy books needed,Get list of school supplies needed,2,flexible,incomparable_pair
bake from scratch,turn on stove or oven,get out pots and pans,2,flexible,incomparable_pair
get more involved,ask questions about the child's day,be on the lookout for unexplained shifts in behavior,2,flexible,incomparable_pair
go to an aerospace museum,Pick out the closest one.,Search the Internet for aerospace museums.,0,reversed,reversed_edge
start the 21 day fix program,Review books online on how to fix the problem,Purchase the necessary book,1,confirmed,confirmed_edge
eat spicy sushi,drive to sushi restaurant,order some spicy sushi,1,confirmed,confirmed_edge
go the hockey game,present hockey game tickets,wait in line at the hockey game,0,reversed,reversed_edge
get Chinese food,Find a restaurant on a computer,Look at the menu,1,confirmed,confirmed_edge
learn how to play every instrument,Drive to the music store.,Watch the lessons for every instrument.,0,reversed,reversed_edge
